id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
27079735,"PRIVATE, Funky bunk style room in Williamsburg",15820210,Brooklyn,Williamsburg,40.70917,-73.93513,Private room,50,2,25,2.26,21
27110361,Artist's home in Williamsburg,8731758,Brooklyn,Williamsburg,40.71326,-73.9644,Entire home/apt,175,5,5,0.46,198
27115251,NYC Spacious 3 BR / Private Entrance + Backyard,5179523,Brooklyn,Williamsburg,40.71145,-73.95302,Entire home/apt,315,1,44,3.84,113
27133412,Private Room in Williamsburg Apartment,36444228,Brooklyn,Williamsburg,40.71671,-73.94094,Private room,70,6,1,0.1,287
27169644,"Bright, Simple, Cozy 1br. Apt in East Williamsburg",204577752,Brooklyn,Williamsburg,40.7154,-73.93926,Entire home/apt,135,2,44,4.11,7
27216361,Sunny Plant Filled Apt in Williamsburg,5809327,Brooklyn,Williamsburg,40.70747,-73.95304,Private room,80,3,6,0.61,282
27221468,AWESOME QUEEN BED B - NEAR 3 METROS WILLIAMSBURG,189625025,Brooklyn,Williamsburg,40.70844,-73.94415,Private room,70,2,20,1.9,345
27230758,Room in modern apartment in hip Williamsburg,31882405,Brooklyn,Williamsburg,40.7082,-73.96719,Private room,130,2,12,1.07,26
27235064,Cute Williamsburg Apartment Perfectly Located,793717,Brooklyn,Williamsburg,40.70934,-73.95593,Entire home/apt,162,3,38,3.34,314
27244093,QUEEN BED 1 NEAR 3 METROS IN WILLIAMSBURG,189625025,Brooklyn,Williamsburg,40.70756,-73.94269,Private room,76,2,29,2.54,330
27246155,SUNNY 2 BEDS - NEAR 3 METROS IN WILLIAMSBURG,189646908,Brooklyn,Williamsburg,40.70936,-73.94427,Private room,86,2,28,2.61,365
27257149,~House of Rest~Treehouse Room in Bushwick Brooklyn,427019,Brooklyn,Williamsburg,40.70713,-73.92918,Private room,55,2,18,1.61,5
27257929,AWESOME SUNNY 2 BEDS C NEAR 3 METROS WILLIAMSBURG,189646908,Brooklyn,Williamsburg,40.70757,-73.94466,Private room,86,2,23,2.18,365
27257936,AWESOME SUNNY 2 BEDS A NEAR 3 METROS WILLIAMSBURG,189646908,Brooklyn,Williamsburg,40.7089,-73.94447,Private room,86,2,17,1.53,342
27281620,Trendy & Private Bedroom in Williamsburg! 2-1,204527108,Brooklyn,Williamsburg,40.71796,-73.957,Private room,87,30,2,2.0,310
27364187,Spacious room in Williamsburg with a yard!,9880191,Brooklyn,Williamsburg,40.71353,-73.94162,Private room,125,1,4,0.39,8
27366783,Luxury Waterfront Condo with views (and pool!),6584607,Brooklyn,Williamsburg,40.71784,-73.96363,Private room,90,1,18,1.62,9
27388568,Casa Finca Sanctuary Duplex w/ Private Garden,895135,Brooklyn,Williamsburg,40.70732,-73.94536,Private room,130,3,12,1.08,90
27424610,private room in east williamsburg spacious loft,2948064,Brooklyn,Williamsburg,40.71031,-73.93623,Private room,58,3,46,4.19,126
27426650,Private room in east Williamsburg Brooklyn Loft,2948064,Brooklyn,Williamsburg,40.70859,-73.93572,Private room,58,3,47,4.26,188
27457583,"Spacious 2 bdrm -1 block to train, 12 mins to city",201203968,Brooklyn,Williamsburg,40.71283,-73.94157,Entire home/apt,160,2,59,5.46,23
27471155,1 bed entire apartment Williamsburg,202869636,Brooklyn,Williamsburg,40.71832,-73.95566,Entire home/apt,150,4,7,0.63,5
27504290,Bright & modern one bed in heart of Williamsburg!,33467956,Brooklyn,Williamsburg,40.71786,-73.95434,Entire home/apt,175,1,15,1.33,8
27554578,Williamsburg Loft Private Bedroom,23635330,Brooklyn,Williamsburg,40.71547,-73.94686,Private room,125,2,3,0.27,54
27572554,Sunny Master Bedroom In Prime Williamsburg 30 Days,120749029,Brooklyn,Williamsburg,40.70722,-73.94121,Private room,65,27,4,0.44,154
27581411,Authentic NYC Getaway - Large 2BR w Priv Rooftop,16931119,Brooklyn,Williamsburg,40.71722,-73.95361,Entire home/apt,200,2,1,0.16,27
27612667,Williamsburg Loft Hideaway,10511660,Brooklyn,Williamsburg,40.70666,-73.96629,Entire home/apt,290,4,12,1.25,117
27622210,Quiet and modern Williamsburg garden 1BR,402569,Brooklyn,Williamsburg,40.71295,-73.94459,Entire home/apt,180,3,22,1.98,98
27681015,Amazing 3BR/2Bath Apt in the coolest Brooklyn Spot,118226205,Brooklyn,Williamsburg,40.71582,-73.94191,Entire home/apt,172,3,32,3.12,78
27727442,Williamsburg Proper,9761047,Brooklyn,Williamsburg,40.71532,-73.96209,Private room,60,3,29,3.19,61
27730786,Bedroom in Luxury Waterfront Apt with Views & Pool,6584607,Brooklyn,Williamsburg,40.71739,-73.96244,Private room,98,1,33,3.24,11
27736075,Welcome to the Secret Oasis in Williamsburg,84063956,Brooklyn,Williamsburg,40.70908,-73.95006,Private room,78,1,32,3.19,30
27774442,Huge Industrial Chic Williamsburg 1 Bdrm w/rooftop,24399066,Brooklyn,Williamsburg,40.72018,-73.9573,Entire home/apt,185,1,20,1.89,44
27782948,Private room in trendy Williamsburg,20448671,Brooklyn,Williamsburg,40.7098,-73.9418,Private room,66,2,6,0.66,173
27783586,Williamsburg nest with private bathroom,20448671,Brooklyn,Williamsburg,40.70755,-73.94377,Private room,65,2,22,2.25,173
27784090,Large Williamsburg room with private deck,20448671,Brooklyn,Williamsburg,40.70936,-73.9437,Private room,75,2,16,1.55,215
27784556,"Beautiful, New Williamsburg apartment.",8197910,Brooklyn,Williamsburg,40.71652,-73.94809,Private room,120,1,16,1.55,85
27814780,Williamsburg duplex apartment with backyard,67913256,Brooklyn,Williamsburg,40.71475,-73.94913,Private room,75,1,5,0.59,55
27848370,Williamsburg Duplex with outdoor deck,266921,Brooklyn,Williamsburg,40.71399,-73.9454,Entire home/apt,144,6,1,0.16,71
27854183,Private Room in the heart of Williamsburg,35959456,Brooklyn,Williamsburg,40.71893,-73.95866,Private room,95,1,47,4.35,28
27869757,Bright and Cozy Room in Williamsburg,25549229,Brooklyn,Williamsburg,40.7073,-73.96607,Private room,60,4,17,1.59,131
27871410,South Williamsburg Condo - Rooftop & Balcony,135018,Brooklyn,Williamsburg,40.71113,-73.96181,Entire home/apt,180,3,1,0.11,9
27875973,South Williamsburg Loft,4359156,Brooklyn,Williamsburg,40.70856,-73.96632,Private room,90,2,2,2.0,10
27893211,Beautiful Sun Drenched Williamsburg Apartment,6842719,Brooklyn,Williamsburg,40.71615,-73.94171,Entire home/apt,150,2,3,0.48,330
